grossprofit_margin,roe,roa,longdebt_to_workingcapital,q_sales_yoy,q_op_yoy,equity_yoy,turnover_rate,bp,ep,sp,code
29.2454,20.1254,4.6541,0.878,23.3653,9.0977,19.3836,0.9978,0.5772515245821346,0.11063771486891004,1.048392420191722,000002.csv
46.592,12.2644,7.8913,0.4522,-24.6969,-11.3624,9.3363,0.715556896551724,1.0470381877239368,0.1148122891806796,0.5321341028843618,000006.csv
34.1093,10.6249,6.0488,0.7341,14.4976,14.9078,25.0564,3.0251258620689665,0.3166071547310721,0.014897194069941519,0.5554690319674505,000009.csv
66.2138,23.2283,9.9625,0.6304,-5.3025,0.1654,18.4237,2.449343103448276,0.4533112386908032,0.11812491476700987,0.5727345830177292,000011.csv
37.8775,0.49,1.12105,0.1278,-66.4857,-107.4581,0.3475,1.4614568965517245,0.5647790926848537,0.012668449962801056,0.27133850727061226,000014.csv
5.475,5.7905,2.8476,4.7939,52.9311,51.7593,4.4635,1.6861310344827585,0.5549758039225466,0.015706285851248537,3.561352037338964,000016.csv
37.8045,10.7843,10.0219,0.0058,34.6807,204.4814,5.478,2.8675034482758632,0.488283161793526,0.04097285892632114,0.6696341570393598,000026.csv
3.9048,13.7583,4.0207,3.5556,19.0757,5.5597,7.5001,1.9043482758620691,0.3700956313513701,0.057768229910700124,7.169764899239468,000034.csv
13.9721,1.3567,1.0153,0.3103,22.8627,456.8388,1.4103,1.0891948275862071,0.7384132853939541,0.00627757734683171,0.5751438710978232,000045.csv
8.6711,26.6397,10.4554,0.1656,12.3444,30.1072,28.7248,2.4661672413793103,0.17293539094201135,0.03524511121682585,1.252181604675341,000049.csv
19.4283,4.8926,3.4374,47.1621,-4.5272,314.8692,25.6901,1.407027586206896,0.8863855570781369,0.026177576242423315,0.7970294733141393,000050.csv
19.1612,7.2333,4.7328,2.4514,-0.1548,0.3461,3.8215,1.1422,1.105318133194299,0.07441415370554948,0.6352396978529941,000055.csv
31.6129,11.8124,3.6466,0.9243,3.1151,-8.2353,50.19600000000001,2.0106192982456137,0.2891931488706163,0.03357350992131893,0.6256689963439617,000063.csv
10.0201,14.1518,5.1396,0.8609,30.5787,16.5494,12.5646,0.6667879310344825,0.9755434217867855,0.12977168208402293,2.034891553224143,000065.csv
29.0001,6.472,6.1387,0.8126,13.1021,113.2859,6.3546,0.7989258620689658,0.8444927384373343,0.05284416271206757,0.3911714897420051,000099.csv
13.6089,13.6661,3.7491,36.0343,73.5434,1172.1537,13.27,4.66951379310345,0.2651646361703536,0.024287550930061453,0.6006082056483948,000100.csv
28.5927,17.0095,9.0259,0.6251,71.9544,147.5084,20.2776,2.588001724137931,0.4539390057783125,0.04206593087839077,0.4156420919437932,000157.csv
32.8601,7.0275,1.1988,1.2018,-40.7537,-46.6866,4.851,0.7638206896551726,1.842774833552008,0.18144490221864307,1.3796062318147475,000402.csv
11.4461,3.5535,-2071.59035,0.1718,20.4195,333.9728,3.2214,1.8331844827586208,1.0949763136781372,0.011635447850472816,3.2163243503497676,000404.csv
10.0904,14.3634,6.1629,0.0059,-62.2012,114.7757,-23.9724,1.0314672413793102,0.2249682648119737,0.031747943329110816,1.0519825420298756,000409.csv
55.0018,0.4393,1.3202,0.0195,877.7646,119.8216,-2.4988,1.241860344827586,0.3982557819113422,0.0017750602206630809,0.1243697514743411,000423.csv
65.0802,14.7367,12.3721,0.1016,24.1689,7.1377,8.4222,1.336789655172414,0.3142960463797595,0.03701170505813632,0.2609000915072984,000513.csv
26.5941,23.3662,4.3263,0.6085,71.9953,-10.2758,22.4459,1.053251724137931,0.7893873843278277,0.20173094770297906,0.7780483473202853,000517.csv
16.488,-1.7358,-0.9527,0.394,14.7796,219.0714,-3.0125,7.329548275862068,1.1876797040688314,0.013877519984870627,4.0682449345504805,000521.csv
20.3997,12.2098,5.3008,0.5254,22.9367,102.6046,10.6831,3.7306687499999986,0.8563199286694827,0.07909407871447104,1.4850290995104791,000528.csv
45.1581,17.6295,10.8568,6.8874,11.7106,-59.5986,17.7754,0.7724206896551723,0.2715379371843525,0.02232056587353124,0.12239636238569687,000532.csv
24.3726,13.1397,5.3298,0.3494,0.7868,361.4453,13.7256,2.3041258620689646,0.3150342234446773,0.0027985617853751,0.6943889395772436,000533.csv
27.7524,14.5178,12.493,0.0368,9.892,149.7444,0.3017,1.7173672413793108,0.2243216197537521,0.02505702948481657,0.17556331265109398,000538.csv
37.8616,8.1008,5.2545,3.826,13.0985,-64.0422,4.3407,0.5253086206896552,0.9920051228077552,0.07481273113684826,0.28244435004562285,000544.csv
16.8518,5.1268,0.9713,0.2223,25.6864,453.5806,4.6673,2.836039655172413,0.5919826256476243,0.008670697336831628,1.6046812096490577,000550.csv
30.2707,5.5749,4.4387,0.5458,-16.974,-38.8715,9.9702,1.553027586206897,1.2303563129562478,0.08137368486248904,0.6296387985003894,000552.csv
29.4387,1.6135,2.7268,0.8699,3.7638,123.0786,-4.55,0.1765465517241379,1.1085417645047215,0.014050752094326246,1.3924869052932405,000553.csv
17.0913,8.8051,4.8766,0.0189,0.3548,13.367,7.0084,1.0979775862068966,0.4035534711468041,0.027373806863449108,0.7368256836432681,000555.csv
16.2369,6.3178,3.9254,0.1918,15.9226,29.6768,65.4758,0.5338137931034483,0.5056746138052822,0.03272991807022649,0.6559628309436525,000559.csv
38.6535,47.8539,50.4035,0.0052,39.9852,-503.2401,52.2863,3.147417241379311,0.38991942395250345,0.026290153524329167,0.10382073857089387,000576.csv
