grossprofit_margin,roe,roa,longdebt_to_workingcapital,q_sales_yoy,q_op_yoy,equity_yoy,turnover_rate,bp,ep,sp,code,shouyi
29.9372,10.1669,2.6315,1.0428,12.468,10.528,21.1636,0.6851716666666667,0.5892410963393242,0.11582080272033107,1.0961516233140818,000002.csv,0.07399999999999997
44.6791,7.4272,4.7049,0.468,-60.2317,-5.4622,9.7574,1.0109266666666668,0.8870212422723214,0.1023118451060839,0.4765054601174428,000006.csv,-0.026022304832713696
34.799,8.4807,4.6886,0.7577,3.4168,89.1507,25.5407,1.85133,0.3349795993197197,0.015503394522927774,0.6151556922534049,000009.csv,0.10253456221198154
23.61,5.6411,3.4811,0.3758,-63.705,-41.3767,7.9988,1.6640983333333332,0.14125015340629513,0.013903806518612295,0.5663491172974434,000010.csv,0.01219512195121947
50.2022,6.1314,2.7814,0.6718,-19.6354,-3949.088,-4.0688,1.6411116666666663,0.3765886766408871,0.09836390324205473,0.4765010762976362,000011.csv,0.10913140311804014
42.6988,1.5421,1.187,0.1627,141.30100000000004,-24.9668,4.9423,1.360373333333334,0.4842388308651883,0.011290788533231656,0.234617028486716,000014.csv,-0.02230483271375461
6.4649,7.4198,3.0388,4.7939,-21.5269,269.695,2.2053,2.3065066666666665,0.5316733792290884,0.0134476076251052,3.4958078306861613,000016.csv,-0.09298531810766726
10.0841,6.9595,4.7171,0.3703,18.4803,-24.1212,2.5991,1.4280500000000005,0.4830050275114185,0.0391999226521281,1.1926997566931594,000019.csv,-0.04774897680763979
12.8005,1.4616,2.391,0.6107,-4.5937,556.3986,2.1506,0.859175,0.11446312104462872,0.0018708283704001747,0.2472340544103953,000020.csv,-0.10425531914893621
11.962,6.2991,3.303,0.8492,-0.0058,62.1117,11.9716,1.2907216666666668,0.23313759871517165,0.01142969648090622,0.4290201344596952,000021.csv,-0.015159435441714726
9.9361,-0.8144,1.4708,0.0659,0.2958,-45.2668,-1.8444,0.5172183333333333,0.19601322805926769,0.021368262748758343,0.7696162673577004,000023.csv,-0.011145510835913296
38.1657,7.9527,7.4204,0.005,42.7303,136.6827,4.4979,2.394015,0.4928212747285741,0.03908421242883033,0.6705440707196829,000026.csv,0.25079164027865736
11.5111,7.5688,4.2515,0.2625,13.6451,18.6763,8.8534,1.23159,0.6434659033935167,0.06059042530452075,2.480558888593502,000028.csv,-0.07007125890736332
22.5781,5.3545,4.8847,0.0282,9.3528,48.5632,6.7825,0.4551183333333333,0.17826363694930816,0.015841706755670194,0.17752931873084954,000032.csv,0.13450549450549446
3.9955,8.8915,2.5481,5.2167,11.7573,47.2038,6.8352,5.918565000000001,0.2704457518507453,0.04240445438357729,5.2478602434998045,000034.csv,-0.18044300378173958
65.2306,10.8214,8.7544,0.3806,-29.2322,-27.0106,3.1142,0.4683966666666665,0.7888377025942004,0.1326240071075329,0.5140035695672973,000036.csv,0.0
16.1954,-1.4964,0.8118,1.473,1.8351,2946.8499,-8.6162,3.860613333333335,2.6743238874591384,0.23312138857287565,1.3797834663193913,000040.csv,-0.13650793650793655
20.1123,1.2826,1.1583,0.846,55.1576,-102.8954,1.7669,0.17475166666666667,1.2710875102471293,0.12901919110506746,1.1822559526452259,000042.csv,-0.030405405405405355
12.8455,0.9282,0.7184,0.2538,-2.3783,223.1026,6.3715,0.6793083333333335,0.6927831973314823,0.004959896562395334,0.5439237369868052,000045.csv,0.12165450121654511
33.6818,-2.9196,1.5058,1.115,20.8508,-82.0972,-10.6737,0.23480666666666666,1.00617290361329,0.05350275653499857,0.14784623614280673,000046.csv,-0.17090909090909098
8.765,15.5952,6.6155,0.3937,-0.3662,-7.5169,22.6574,2.219863333333333,0.2218243222442468,0.04546404042187418,1.6696664499712373,000049.csv,-0.04685898374578984
18.4662,4.0993,2.885,51.8198,-2.2743,8.5872,23.8076,0.8271983333333334,0.9023941415023076,0.022518329971686884,0.8221917188620705,000050.csv,-0.06214285714285709
21.2183,4.152,2.6973,3.0236,21.3363,311.2538,3.0224,0.8901633333333329,1.02077914197142,0.06825870773353834,0.5899535462534078,000055.csv,0.00444444444444435
66.4976,0.5554,2.3414,3.61485,-23.0483,-86.8229,-3.4676,0.5320716666666666,1.3642482384182781,0.013027389613795737,0.2443130382407545,000056.csv,-0.15708812260536403
34.6001,4.8476,4.3173,0.6504,-13.2942,-17.3722,1.2837,1.4527516666666669,0.2207638663688732,0.008906483508643186,0.1695330544841625,000058.csv,-0.08169934640522876
32.1384,7.6684,3.0289,0.9131,37.1779,-68.9697,50.9248,1.6817899999999997,0.26476202869525683,0.032827299148659755,0.5786173816985155,000063.csv,-0.17087312414733963
14.9926,9.8315,3.7291,0.8375,5.5618,84.4305,18.3699,0.4170766666666665,0.8908442508850386,0.12045977788025247,1.8864682434396416,000065.csv,0.21035940803382674
29.649,-15.7346,-0.7573,5.561,33.4775,-9.3698,0.1612,0.6680083333333332,0.14944250128096145,0.0019592100934715264,0.07351057639937396,000068.csv,-0.14801444043321305
12.5137,3.1528,3.3592,0.2952,10.4327,-29.0153,1.2134,0.6717716666666668,0.5674056597477943,0.021292810880680985,3.666520558297848,000078.csv,-0.28753993610223655
30.978,3.9904,3.124,1.1953,-11.5235,17.1223,23.4146,0.9999566666666666,0.5672697168674979,0.023839977568306515,0.03935568448552882,000088.csv,-0.06375838926174494
32.2335,13.3068,4.7136,0.6253,26.1638,220.1526,26.6076,0.7990383333333332,0.6800295649193129,0.09846213728931956,1.1680812154138995,000090.csv,0.078125
