inv_turn,assets_turn,grossprofit_margin,roe,roa,ocf_to_or,longdebt_to_workingcapital,q_sales_yoy,q_op_yoy,equity_yoy,trade_date,turnover_rate,bp,ep,sp,return,jidu,code,3m,over_return
0.0364,0.0275,31.2754,0.6633,0.4067,-0.0618,1.0862,-1.2409,-18.0492,19.7475,20200514.20338983,0.7257830508474578,0.6373280759183866,0.13053317106278975,1.2353989542025692,0.018923136579296732,2020Q2,000002.SZ,1.59985,0.00292463657929673
0.1849,0.06645,78.04115,0.34375,0.3795,-0.88915,0.0111,-89.09725,44.7218,1145.28565,20200514.20338983,3.7991661016949134,0.2864149276037931,0.0006434996542309103,0.03827104937099717,-0.022204723393018544,2020Q2,000004.SZ,1.59985,-0.038203223393018536
0.16369999999999998,0.14845,46.51375,7.1355,4.8958,-0.21615,0.4864500000000001,75.16105,31.94175,8.738299999999999,20200514.20338983,1.6787118644067796,0.997588206310226,0.11862063683174527,0.5311736144618632,0.44882141880092863,2020Q2,000006.SZ,1.59985,0.4328229188009286
0.4699,0.2268,35.6385,3.14905,3.1795,0.0916,0.95305,-32.45605,-44.01765,5.0748,20200514.20338983,2.9249576271186437,0.31041665780679983,0.01526597716031875,0.6696841651869381,0.3696851806747472,2020Q2,000009.SZ,1.59985,0.3536866806747472
0.5559000000000001,0.25849999999999995,21.173450000000006,4.04525,3.9067,-1.24065,0.271,173.70135,-69.0669,4.7843,20200514.20338983,0.6131152542372883,0.1374144240083082,0.01431039686256641,0.42301276496850987,0.08223809823697238,2020Q2,000010.SZ,1.59985,0.06623959823697237
0.0649,0.0781,61.5892,4.7162,2.0044,-0.7072,0.6019,64.1967,59.2768,-3.4809,20200514.20338983,2.521684745762712,0.5276922262712345,0.13724455841745722,0.6648493285228587,0.6952682809627689,2020Q2,000011.SZ,1.59985,0.6792697809627689
0.0427,0.0434,29.529,0.8678,0.6609,-0.2904,0.1539,1102.1204,176.3609,2.3792,20200514.20338983,2.074020338983051,0.5071535834030064,0.011932506432557315,0.2479518256310269,0.32577952462194576,2020Q2,000014.SZ,1.59985,0.3097810246219458
5.46365,0.81935,6.3343500000000015,-0.07510000000000018,1.51665,-0.08005,3.0283,-22.70855,-139.40195,-2.4614,20200514.20338983,6.184993220338986,0.4496220628170355,0.014398904372193927,3.007183860500624,-0.21123864880789173,2020Q2,000016.SZ,1.59985,-0.2272371488078917
1.9372,0.96065,12.3412,5.15995,3.8878,0.0964,0.33965,-15.762200000000002,36.8444,5.4193,20200514.20338983,8.85527288135593,0.45691653885101297,0.03558384189790801,1.1279126350888076,0.04970127984290755,2020Q2,000019.SZ,1.59985,0.03370277984290755
5.43085,0.6571499999999999,14.07805,0.7748,1.521,0.09675,0.6875,-10.8429,-82.66799999999998,1.5831,20200514.20338983,0.9567576271186444,0.1240444363528296,0.0017812657672033126,0.2612581959489159,0.2347626670142348,2020Q2,000020.SZ,1.59985,0.2187641670142348
3.32915,0.47825,9.6336,3.2532499999999995,2.075,-0.0017500000000000016,0.2808,-8.893899999999997,-14.2592,6.2101,20200514.20338983,4.596377966101697,0.213307750188859,0.012696085379627893,0.4410522004133829,0.2410436407036371,2020Q2,000021.SZ,1.59985,0.2250451407036371
2.1199,0.41235,9.0934,4.38195,2.5025,-0.5157,0.0703,-28.4091,-122.41455,6.69205,20200514.20338983,2.972027118644067,0.2027457113892009,0.018893291373111784,0.7671217508975429,0.11932934801026718,2020Q2,000023.SZ,1.59985,0.10333084801026718
0.1941,0.1588,39.7509,-0.4906,-0.2969,-0.1814,0.0055,-34.1428,-122.8654,0.1256,20200514.20338983,1.6047067796610168,0.6818094923444419,0.05707541439630945,0.9792069674925502,0.05052739456515117,2020Q2,000026.SZ,1.59985,0.034528894565151166
6.0057,1.01555,11.19315,6.1666500000000015,3.755,-0.00765,0.17475000000000002,11.1048,-4.39485,9.9119,20200514.20338983,1.1447067796610169,0.7201991068726973,0.06984157921245511,2.774000477691056,0.13178489061177887,2020Q2,000028.SZ,1.59985,0.11578639061177888
2.004,0.3885,20.49605,5.33025,4.39415,-0.08315,0.01945,-11.3458,45.88300000000001,7.1466499999999975,20200514.20338983,1.2924440677966107,0.1973988707070901,0.017066879663682404,0.2069970193186075,0.4132158050097572,2020Q2,000032.SZ,1.59985,0.3972173050097572
2.07,0.6324,4.4976,2.6767,0.9949,0.0554,4.1417,-17.4181,-12.8501,13.0519,20200514.20338983,4.069493220338983,0.26986371613483423,0.043651793557460385,5.402182812168925,-0.02273269201807248,2020Q2,000034.SZ,1.59985,-0.03873119201807248
0.2115,0.19865,69.55494999999999,11.41775,7.77625,0.22895,0.3652,56.9918,24.3881,3.06155,20200514.20338983,0.7808237288135591,0.8566718711949798,0.14701840136106947,0.5452999423037926,0.26669179655994485,2020Q2,000036.SZ,1.59985,0.2506932965599449
1.4461000000000002,0.1449,15.135666666666667,-4.7036,-0.5101333333333333,-0.20333333333333328,1.0709666666666668,-83.4044,-251.7598333333333,-7.6130666666666675,20200514.20338983,1.6563,2.976120486160034,0.23312138857287565,1.6289799452320894,-0.11853860803838062,2020Q2,000040.SZ,1.59985,-0.13453710803838062
0.08245,0.08660000000000001,30.68275,4.8102,1.92555,0.4006,0.8351999999999999,121.9397,-3.964749999999995,1.8663,20200514.20338983,0.16128644067796613,1.148668911152256,0.10403980259442976,1.1356017621730248,0.09262987840321936,2020Q2,000042.SZ,1.59985,0.07663137840321936
